Photocopier	Aris	1	-0.5859
WilliamRobert	Empeopler	1	-0.6759
DeusExMachina	Insertnamehere	2	0.17
Citrogenen	troctzul	4	0.48215
Eskandar	Insertnamehere	3	0.547933333333
LiberalGuy	Citrogenen	8	0.412
nicktish	Aris	1	-0.1779
Stardust	Rare	1	0.0129
DeusExMachina	mufc	1	0.92
toodles	Chaos_Theory	1	-0.4153
MattStrzok	EmberBreeze	1	-0.6808
Selketo	teamvista	1	0.7615
MikahMancer	Empeopler	1	0.0
Fantonald	gabriel_swee_7	6	-0.02525
Aris	toodles	2	0.1203
lucitribal	MikeIsBored	1	0.5994
HeroOfCanton	Stardust	3	-0.0501333333333
FairEnough	bradclarmett	1	0.627
Asimov	DeusExMachina	2	0.1072
Cedara	toodles	1	0.5801
SkinnyTieChuck	Insertnamehere	1	0.7062
eric1_z	HeroOfCanton	1	0.0
lucitribal	DarkKirby14	1	0.4019
Asimov	Aris	1	-0.296
teamvista	jackripper	1	0.6641
Selketo	HeroOfCanton	1	0.0
Empoopled	formati	1	-0.2023
Musekyto	Crossposted	3	-0.2498
Insertnamehere	candacebernhard	1	0.4019
HeroOfCanton	readyflowers	1	-0.2732
thatcoolmartian	Sightseer	1	-0.4767
MrWeb20	Crossposted	1	-0.2263
Katantunoro	teamvista	1	0.9571
LJ6782	gabriel_swee_7	1	0.3927
FairEnough	toodles	1	0.872
teamvista	Rare	1	0.1603
Asimov	jaydog	1	0.0516
Soup	toodles	1	-0.6124
Citrogenen	teamvista	1	0.1265
Eskandar	HeroOfCanton	2	-0.1666
gabriel_swee_7	lucitribal	1	0.5106
Kr1ll1n	Kr1ll1n	2	-0.08855
MisterWonka	Citrogenen	1	-0.9503
toodles	teamvista	1	0.4939
jw98520182	HeroOfCanton	1	0.34
HeroOfCanton	lucitribal	2	0.03055
gabriel_swee_7	LiberalGuy	2	0.13445
Folanco	Aris	1	0.0
VeryYes	lucitribal	1	0.0
Pink	FairEnough	1	0.4391
jackripper	Chaos_Theory	1	0.6486
MikahMancer	Fantonald	1	-0.763
Soup	Stardust	2	0.62295
LiberalGuy	bigpappyj	1	0.8957
Empoopled	Fantonald	12	-0.0408083333333
Chaos_Theory	Kr1ll1n	1	0.4019
Eskandar	toodles	1	0.8503
Fantonald	Tay_Shi	1	0.765
jackripper	xgreenknight	1	-0.296
mumrahte	DarkKirby14	1	0.5647
Binerexis	Insertnamehere	1	0.4019
billdow00	billdow00	1	0.0
FairEnough	Duv0nZ	1	0.5574
pox_	Aris	1	-0.1531
bementar	Empeopler	1	0.4404
Bil1ion	HeroOfCanton	1	0.0
DeusExMachina	danielcrustove	1	0.5106
HeardOfMe	jackripper	1	0.7906
Eskandar	teamvista	2	-0.0424
KevinUxbridge	Derpetologist	2	-0.20155
Aris	Ludiko	1	0.4389
Stardust	teamvista	2	0.15225
HeroOfCanton	Dino	1	0.1779
lucitribal	HeroOfCanton	2	0.6985
HMagellan	DarkKirby14	1	-0.0516
LiberalGuy	LiberalGuy	3	0.455366666667
Insertnamehere	Crossposted	1	0.0
lawduck	lucitribal	1	0.4318
Ludiko	Aris	7	0.174071428571
TerreNemo	KevinUxbridge	3	0.472066666667
removed	Aris	1	0.7777
Citrogenen	billdow00	1	0.8957
Elathen	Elathen	1	0.0
Southchirep	HeroOfCanton	3	-0.0754666666667
goej	Aris	4	0.329525
Photocopier	Derpetologist	1	-0.3818
bementar	Kr1ll1n	1	0.6369
WateryStar	Aris	1	0.4019
LiberalGuy	Swayfarer	1	0.9867
schenn	Chaos_Theory	1	0.1027
Aris	Insertnamehere	1	0.0
lucitribal	Nascimento	1	0.0164
DanoMR	gabriel_swee_7	1	-0.0571
HeroOfCanton	jansegers	1	-0.4588
Chipped	lucitribal	1	0.8779
HeroOfCanton	Cedara	3	0.118633333333
Ludiko	Stardust	1	0.0
FairEnough	Aris	13	0.343676923077
LiberalGuy	Fantonald	4	-0.15095
kickback	Stardust	1	0.1563
LiberalGuy	eric1_z	2	0.6861
Citrogenen	Stardust	2	0.5252
DeusExMachina	LiberalGuy	3	0.169833333333
Elathen	LiberalGuy	1	-0.0516
Dino	goej	1	0.6597
LJ6782	Aris	2	0.7027
DeusExMachina	DeusExMachina	6	-0.143216666667
DeusExMachina	Stardust	4	-0.2561
TeriRoss	Crossposted	1	0.0
sunny123	Aris	1	0.4215
Eskandar	Rare	1	-0.1779
thatcoolmartian	DarkKirby14	1	0.3612
Cedara	HeroOfCanton	2	0.68155
Soup	Aris	2	0.40925
Stardust	HeroOfCanton	2	0.54875
TerreNemo	Crossposted	2	-0.7444
luis	Aris	3	0.292
TerreNemo	Fantonald	1	0.1506
HeroOfCanton	teamvista	3	0.4383
elocinasile	HeroOfCanton	1	0.6059
Empoopled	Slimzy	1	0.3804
stupidskeleton	DarkKirby14	1	0.0
billdow00	LiberalGuy	4	0.44755
DeusExMachina	simkel	6	-0.00716666666667
gabriel_swee_7	DeusExMachina	1	0.0
thatbookishgirl	Aris	1	0.936
LiberalGuy	itzBolt	3	0.4006
chosler88	DarkKirby14	1	0.7906
EmberBreeze	teamvista	2	0.2294
Derpetologist	Fantonald	1	0.0
WilliamRobert	teamvista	1	-0.3089
DarthEzio	jackripper	1	0.4201
thatcoolmartian	simkel	1	0.2732
LiberalGuy	DarkKirby14	1	-0.09
eric1_z	jackripper	1	0.9274
Chaos_Theory	Stardust	2	0.56645
lucitribal	eric1_z	2	0.74805
LiberalGuy	tuister007	1	-0.4389
Kurt_blowbrain	FairEnough	1	0.2023
RipeBanana	gabriel_swee_7	1	0.0
Empoopled	MikeIsBored	1	-0.0258
Citrogenen	Conception	1	0.0
asmoreborn	Aris	1	-0.0644
Insertnamehere	lucitribal	1	0.6597
Fantonald	jaydog	2	0.09005
Aris	HeroOfCanton	6	0.3602
captainfez	Meowsticgoesnya	1	0.0
alfajonah	estherschindler	1	0.0
Pink	goej	1	0.7184
DarkKirby14	Aris	2	-0.148
HeroOfCanton	NULL	1	0.0
Southchirep	Aris	2	0.6212
kemik	Crossposted	1	-0.8658
Stardust	Empeopler	1	0.4404
LiberalGuy	HeroOfCanton	3	0.649366666667
Empoopled	mmoates	1	0.7026
5moufl	teamvista	1	-0.6249
Pink	Insertnamehere	1	0.8511
jackripper	MattStrzok	1	-0.5849
Derpetologist	mandivether	2	-0.39315
Damdirtyphreak	billdow00	3	0.166466666667
GreatGerm	Insertnamehere	1	0.802
zeesmileyface	toodles	1	-0.4528
HeroOfCanton	bementar	1	-0.2411
Citrogenen	Rhea	1	0.8494
lucitribal	imaguy	1	0.5023
Rasterpunk	Aris	2	-0.1203
duncan006	Insertnamehere	1	-0.25
VeryYes	Crossposted	1	0.4927
Asimov	Crossposted	1	0.4019
Insertnamehere	Insertnamehere	1	-0.4173
FormerComrade	HeroOfCanton	1	0.7783
DeusExMachina	teamvista	1	0.4926
HeroOfCanton	Crossposted	1	0.7712
DeusExMachina	Sightseer	1	0.0
insomnia	captainfez	1	-0.6258
Fantonald	varmansk	1	-0.1027
Stardust	Crossposted	1	0.7263
wiz0floyd	HeroOfCanton	1	0.5562
weltraumaffe	jackripper	1	0.765
FairEnough	DeusExMachina	3	-0.0813333333333
Meowsticgoesnya	Chaos_Theory	1	0.0
eric1_z	Rare	1	0.3818
geoffreybyers	Aris	1	0.0
transcendence	Crossposted	1	0.25
Stardust	DeusExMachina	1	0.9855
EmberBreeze	Crossposted	1	0.627
eric1_z	FairEnough	2	0.5845
goej	EmberBreeze	1	-0.5766
EmberBreeze	Rare	1	0.8588
